Manufacturer,InsertType,Purification,Batch,Replicate,File,n_two_errors,n_two_errors_together,n_three_errors,n_three_errors_together,n_four_errors,n_four_errors_together
sigma,fwd,HPLC,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_HPLC_b1_1,75,61,15,8,14,11
sigma,fwd,HPLC,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_HPLC_b1_3,51,35,28,16,13,8
sigma,fwd,PAGE,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b1_1,133,69,46,22,17,7
sigma,fwd,PAGE,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b1_2,118,81,33,16,16,6
sigma,fwd,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b1_3,130,86,51,25,14,5
sigma,fwd,PAGE,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b2_1,9,8,3,1,2,2
sigma,fwd,PAGE,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b2_2,18,12,5,5,2,2
sigma,fwd,PAGE,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b2_3,13,5,6,0,2,2
sigma,fwd,PAGE,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b3_1,33,23,6,6,1,0
sigma,fwd,PAGE,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b3_2,21,15,13,8,10,3
sigma,fwd,PAGE,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b3_3,14,12,7,4,7,6
sigma,rev,desalted,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b1_2,18,10,13,13,2,2
sigma,rev,desalted,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b1_3,19,15,2,2,4,3
sigma,rev,desalted,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b2_1,87,71,30,24,17,13
sigma,rev,desalted,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b2_2,69,53,36,30,26,24
sigma,rev,desalted,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b2_3,69,49,34,29,27,26
sigma,rev,desalted,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b3_1,46,30,31,27,12,7
sigma,rev,desalted,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b3_2,47,31,19,12,20,16
sigma,rev,desalted,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b3_3,32,19,17,15,13,10
sigma,rev,PAGE,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b1_1,19,11,7,3,0,0
sigma,rev,PAGE,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b1_2,31,19,6,3,4,3
sigma,rev,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b1_3,14,8,6,0,3,2
sigma,rev,PAGE,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b2_1,49,33,10,9,5,3
sigma,rev,PAGE,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b2_2,50,34,29,19,12,11
sigma,rev,PAGE,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b2_3,49,36,13,11,11,11
sigma,rev,PAGE,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b3_1,112,95,55,48,43,32
sigma,rev,PAGE,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b3_2,113,89,32,28,26,21
sigma,rev,PAGE,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b3_3,103,80,40,28,24,18
