Manufacturer,InsertType,Purification,Batch,Replicate,File,0,1,2,3,4,5,6,>7
idt,fwd,PAGE,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b1_2,90.80611169652265,7.744994731296101,1.0669125395152792,0.2173340358271865,0.07903055848261328,0.03292939936775553,0,0.052687038988408846
idt,fwd,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b1_3,89.74642488574376,9.022556390977442,0.9140498304584991,0.19902697921273774,0.044228217602830605,0.014742739200943536,0.007371369600471768,0.05159958720330237
idt,fwd,PAGE,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b2_1,96.415770609319,3.2752440983809175,0.2471882338400692,0.024718823384006924,0.03707823507601038,0,0,0
idt,fwd,PAGE,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b2_2,96.01368436709802,3.5698348951361,0.29748624126134166,0.059497248252268334,0.014874312063067083,0.014874312063067083,0.014874312063067083,0.014874312063067083
idt,fwd,PAGE,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b2_3,96.30096679277007,3.432814908224744,0.12610340479192939,0.07005744710662744,0.028022978842650974,0.014011489421325487,0,0.028022978842650974
idt,fwd,PAGE,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b3_1,94.52988465571478,4.980775952464174,0.4019573575672841,0.06990562740300593,0,0,0,0.017476406850751483
idt,fwd,PAGE,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b3_2,95.19369876225687,4.179392380646198,0.30541713550876065,0.11252210255585919,0.16074586079408454,0.016074586079408457,0,0.032149172158816915
idt,fwd,PAGE,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b3_3,95.35295419340562,3.8946669617171943,0.5310909493250718,0.11064394777605664,0,0.04425757911042266,0,0.06638636866563398
idt,rev,PAGE,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b1_1,96.88680474143545,2.7354435326299336,0.33867396118275367,0.039077764751856196,0,0,0,0
idt,rev,PAGE,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b1_2,96.98554290987389,2.7683789603199016,0.1845585973546601,0,0.030759766225776686,0,0,0.030759766225776686
idt,rev,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b1_3,96.16920573879604,3.342700783907706,0.32539565153083866,0.07395355716609969,0.029581422866439874,0.04437213429965981,0,0.014790711433219937
idt,rev,PAGE,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b2_1,96.32753470391847,3.3386048146195746,0.12300123001230012,0.21085925144965736,0,0,0,0
idt,rev,PAGE,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b2_2,95.9508041627247,3.8221381267738885,0.15137180700094607,0,0.056764427625354774,0.01892147587511826,0,0
idt,rev,PAGE,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b2_3,96.20889748549322,3.3075435203094776,0.36750483558994196,0.07736943907156672,0.01934235976789168,0,0,0.01934235976789168
sigma,fwd,HPLC,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_HPLC_b1_1,92.60332661290323,5.771169354838709,0.9450604838709677,0.18901209677419356,0.17641129032258063,0.05040322580645161,0,0.26461693548387094
sigma,fwd,HPLC,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_HPLC_b1_3,93.2891669733775,5.361305361305361,0.62569009937431,0.3435161329898172,0.1594896331738437,0.0490737332842596,0,0.1717580664949086
sigma,fwd,PAGE,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b1_1,90.86300543150271,6.493663246831624,1.6053108026554013,0.5552202776101388,0.2051901025950513,0.14484007242003621,0.012070006035003017,0.12070006035003018
sigma,fwd,PAGE,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b1_2,91.92751235584844,5.652008617412242,1.4953744772525663,0.4181979470282601,0.20276264098339883,0.13939931567608668,0.038017995184387275,0.12672665061462424
sigma,fwd,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b1_3,91.17883995703545,5.921052631578947,1.7454350161117078,0.6847475832438239,0.18796992481203006,0.12083780880773362,0.09398496240601503,0.06713211600429646
sigma,fwd,PAGE,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b2_1,95.2755905511811,3.906723198061781,0.27256208358570566,0.09085402786190189,0.06056935190793458,0.18170805572380377,0,0.21199273167777105
sigma,fwd,PAGE,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b2_2,95.44358080943447,3.8863575448941305,0.4824443848834093,0.13401232913428035,0.05360493165371214,0,0,0
sigma,fwd,PAGE,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b2_3,95.85564610011642,3.538998835855646,0.30267753201396974,0.13969732246798602,0.046565774155995346,0,0,0.11641443538998836
sigma,fwd,PAGE,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b3_1,94.86268939393939,4.142992424242424,0.78125,0.14204545454545456,0.023674242424242424,0.04734848484848485,0,0
sigma,fwd,PAGE,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b3_2,95.29234737747205,3.6328460877042135,0.45141874462596737,0.2794496990541703,0.21496130696474636,0.04299226139294927,0,0.08598452278589853
sigma,fwd,PAGE,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_fwd_PAGE_b3_3,96.2979094076655,3.0705574912891986,0.3048780487804878,0.1524390243902439,0.1524390243902439,0.02177700348432056,0,0
sigma,rev,desalted,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b1_2,96.2789827973074,3.0104712041884816,0.3365744203440539,0.24308152580403888,0.037397157816005985,0,0.018698578908002993,0.07479431563201197
sigma,rev,desalted,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b1_3,96.43211100099109,2.923686818632309,0.3138420878757846,0.033036009250082585,0.06607201850016517,0,0.049554013875123884,0.18169805087545426
sigma,rev,desalted,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b2_1,95.05297334244702,2.8879015721120984,0.7433356117566644,0.2563226247436774,0.14524948735475052,0.14524948735475052,0.1367053998632946,0.6322624743677375
sigma,rev,desalted,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b2_2,94.84471070471385,3.2319091912344318,0.5439066687687215,0.283777392401072,0.2049503389563298,0.15765410688948447,0.1340059908560618,0.5990856061800409
sigma,rev,desalted,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b2_3,94.76341873948009,3.282214325790163,0.6452216195997755,0.3179352908172807,0.25247802506078176,0.13091453151299795,0.09351037965214139,0.5143070880867777
sigma,rev,desalted,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b3_1,95.5846439386539,2.676565400019537,0.4493503956237179,0.30282309270294033,0.11722184233662206,0.15629578978216274,0.10745335547523689,0.6056461854058807
sigma,rev,desalted,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b3_2,95.65128623928135,2.5724785626786444,0.4797876684360963,0.19395671702735812,0.2041649652919559,0.18374846876276033,0.07145773785218457,0.6431196406696611
sigma,rev,desalted,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_desalted_b3_3,95.81631526658572,2.572027817639916,0.3532398719505464,0.1876586819737278,0.14350369797990947,0.13246495198145491,0.12142620598300034,0.6733635059057291
sigma,rev,PAGE,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b1_1,94.47658145176338,4.5904086583317785,0.35454375816383654,0.13062138458667663,0,0.22392237357715994,0.09330098899048331,0.13062138458667663
sigma,rev,PAGE,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b1_2,94.60731863898995,4.301305371281832,0.6633854055210785,0.12839717526214423,0.08559811684142948,0.04279905842071474,0.02139952921035737,0.1497967044725016
sigma,rev,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b1_3,95.60350091593732,3.8062283737024223,0.2849582739670263,0.12212497455729697,0.061062487278648485,0,0.04070832485243232,0.08141664970486465
sigma,rev,PAGE,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b2_1,95.84553639223343,3.264996203492786,0.5315110098709187,0.10847163466753444,0.05423581733376722,0.06508298080052066,0.04338865386701378,0.08677730773402756
sigma,rev,PAGE,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b2_2,95.80661930341363,3.1970195806619306,0.4332004851845434,0.25125628140703515,0.10396811644429041,0.09530410674059954,0.025992029111072602,0.08664009703690868
sigma,rev,PAGE,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b2_3,95.23859465128474,3.7231253277399055,0.5138961719979024,0.13633980073413737,0.11536444677503932,0.1048767697954903,0.1048767697954903,0.06292606187729419
sigma,rev,PAGE,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b3_1,94.03662157703728,3.983833718244804,0.9237875288683602,0.45364566149785546,0.35466842626195977,0.09897723523589574,0.07423292642692181,0.07423292642692181
sigma,rev,PAGE,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b3_2,94.19928529876174,4.013961605584642,0.9390841851574836,0.2659353444693759,0.2160724673813679,0.17452006980802792,0.08310479514667997,0.10803623369068395
sigma,rev,PAGE,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/sigma_rev_PAGE_b3_3,94.38415159345392,3.7898363479758825,0.8871662360034452,0.34453057708871665,0.20671834625322996,0.2153316106804479,0.06890611541774332,0.10335917312661498
